Roll,Math,Physics,Chemistry,Computer Science
422,77,76,89,80
423,81,63,99,74
424,70,73,97,78
425,90,93,91,64
426,81,88,86,93
427,71,92,94,72
428,97,99,97,95
429,78,83,85,57
430,92,93,84,58
431,77,100,92,100
432,76,77,77,66
433,95,89,94,70
434,71,72,94,85
435,69,68,83,92
436,99,63,90,74
437,93,64,100,66
438,97,95,91,73
439,97,97,95,64
440,97,82,91,61
441,74,69,100,67
442,96,91,93,76
443,85,70,78,69
444,89,63,93,96
445,74,92,94,70
446,86,82,91,70
447,68,95,95,73
448,98,85,94,86
449,71,84,97,62
450,74,63,79,87
451,76,62,98,89
452,76,65,96,79
453,69,61,90,100
454,84,70,90,89
455,93,76,84,73
456,83,74,100,68
457,69,68,77,96
458,74,74,92,80
459,83,93,91,96
460,88,91,77,69
461,96,64,84,96
462,92,96,78,99
463,76,69,95,69
464,74,74,79,98
465,98,98,77,86
466,78,71,94,81
467,89,77,96,67
468,67,93,79,64
469,77,99,98,60
470,89,72,86,68
471,79,92,89,72
472,72,95,91,93
473,75,82,79,75
474,96,71,93,95
475,77,97,91,68
476,83,81,89,81
477,76,66,94,80
478,69,60,99,63
479,74,69,82,75
480,72,65,100,69
481,99,81,97,89
482,67,74,99,88
483,98,75,87,96
484,71,63,87,77
485,97,62,97,58
486,72,83,86,87
487,81,66,91,74
488,87,99,81,99
489,82,61,98,96
490,76,91,92,97
491,96,88,90,69
492,100,70,90,85
493,99,94,91,88
494,77,85,84,76
495,100,70,91,95
496,72,97,84,66
497,83,67,94,97
498,94,100,95,77
499,98,97,90,66
500,88,71,92,66
501,100,60,89,81
502,85,99,79,63
503,99,64,98,62
504,74,71,83,74
505,88,91,96,88
506,77,83,90,80
507,85,64,77,59
508,97,87,98,80
509,71,87,78,58
510,71,79,81,68
511,87,64,90,62
512,74,70,96,59
513,72,75,85,63
514,76,80,84,61
515,94,95,96,91
516,85,95,87,100
517,89,80,98,79
518,95,82,85,77
519,89,84,79,58
520,85,83,80,65
521,71,77,89,89
522,91,61,92,86
523,88,81,98,97
524,88,90,88,82
525,69,96,94,90
526,87,67,83,98
527,97,91,79,74
528,73,87,80,97
529,96,82,97,58
530,85,71,85,100
531,92,91,78,79
532,100,92,90,74
533,77,97,91,79
534,71,68,95,99
535,92,88,96,80
536,90,70,86,72
537,79,63,85,97
538,74,91,86,57
539,95,94,91,66
540,81,86,96,72
541,70,62,94,71
542,89,83,93,75
543,89,72,85,58
544,87,68,87,78
545,100,99,91,74
546,74,99,97,84
547,90,96,93,89
548,69,81,94,99
549,90,87,97,70
550,93,76,81,84
551,82,79,91,83
552,69,86,80,92
553,86,66,99,62
554,83,73,97,81
555,68,64,79,64
556,74,75,95,67
557,89,89,85,71
558,75,100,83,63
559,71,64,97,95
560,77,85,97,64
561,97,76,81,73
562,86,82,98,93
563,69,69,86,84
564,79,61,86,79
565,78,73,100,69
566,91,79,97,92
567,96,60,78,89
568,96,79,94,96
569,82,81,91,60
570,79,100,88,66
571,67,73,77,90
572,90,76,98,82
573,95,78,84,78
574,71,70,88,80
575,86,78,94,61
576,96,91,94,90
577,81,87,86,74
578,68,100,92,82
579,72,60,85,71
580,75,88,94,57
581,90,96,98,94
582,95,96,90,84
583,68,82,92,72
584,67,88,98,56
585,73,92,93,74
586,86,77,89,64
587,80,70,95,80
588,83,86,98,95
589,96,72,79,93
590,69,100,94,60
591,89,71,88,73
592,74,72,82,71
593,72,68,93,76
594,85,83,81,85
595,96,82,94,77
596,72,76,100,82
597,80,68,92,71
598,83,73,90,70
599,79,89,78,72
600,74,78,82,91
601,97,93,94,56
602,83,86,84,75
603,94,82,94,91
604,89,95,80,96
605,87,73,89,56
606,69,84,86,82
607,77,62,85,75
608,77,89,78,56
609,81,72,94,82
610,79,68,85,63
611,85,99,84,93
612,68,93,83,61
613,85,89,86,60
614,68,83,81,81
615,75,65,81,79
616,84,62,77,82
617,83,93,99,79
618,87,73,93,67
619,91,90,98,78
620,70,65,82,78
621,84,84,87,71
622,83,82,91,83
623,78,66,78,97
624,68,93,91,56
625,86,83,86,100
626,79,62,89,67
627,80,93,85,74
628,72,78,92,91
629,98,79,90,63
630,84,81,83,59
631,75,60,99,58
632,88,85,86,63
633,85,79,77,68
634,96,84,81,69
635,89,60,93,68
636,76,80,86,97
637,96,60,83,88
638,94,88,84,77
639,72,88,94,59
640,69,90,81,74
641,96,68,89,76
642,75,87,88,66
643,95,92,77,59
644,97,81,88,100
645,70,75,79,91
646,92,63,86,66
647,84,94,100,79
648,88,90,85,94
649,70,100,93,62
650,87,96,90,73
651,85,91,86,87
652,90,75,83,79
653,80,100,89,100
654,74,83,87,97
655,71,63,94,91
656,76,69,90,91
657,72,81,79,97
658,93,90,100,99
659,96,64,92,59
660,84,99,89,88
661,69,77,79,89
662,86,97,83,94
663,88,73,94,91
664,90,92,78,95
665,85,61,95,100
666,82,89,98,57
667,79,65,82,100
668,71,70,92,67
669,88,95,79,97
670,81,76,78,57
671,72,68,97,92
672,72,94,97,78
673,75,90,88,58
674,97,72,88,77
675,98,83,98,57
676,83,84,98,64
677,76,75,95,61
678,93,97,84,56
679,92,100,100,68
680,84,68,98,67
681,71,78,78,58
682,95,61,96,62
683,81,99,98,74
684,94,91,80,92
685,83,70,80,89
686,81,85,98,66
687,84,84,99,68
688,88,92,82,97
689,83,95,91,93
690,74,72,85,83
691,94,91,78,66
692,100,78,96,80
693,94,72,88,56
694,70,65,85,74
695,70,92,97,61
696,88,89,94,57
697,82,90,84,83
698,84,74,78,69
699,84,68,83,58
700,77,62,92,84
701,89,88,84,96
702,79,74,95,56
703,100,62,83,94
704,76,72,97,84
705,79,61,82,84
706,84,61,81,81
707,100,70,100,91
708,86,61,87,80
709,85,63,82,88
710,82,67,89,77
711,82,72,90,100
712,94,76,88,66
713,67,74,90,94
714,83,65,91,74
715,87,76,99,66
716,93,73,97,56
717,71,77,83,77
718,98,70,100,58
719,78,86,91,56
720,84,78,87,100
721,95,68,93,77
722,84,78,78,86
723,84,95,95,75
724,79,77,80,68
725,90,100,88,81
726,86,68,80,75
727,98,62,90,91
728,74,80,77,100
729,93,98,79,84
730,70,76,94,88
731,69,94,95,93
732,68,90,97,97
733,94,91,91,72
734,89,67,100,62
735,88,88,93,78
736,83,62,96,99
737,80,60,85,90
738,92,81,93,76
739,89,69,78,66
740,77,96,77,94
741,71,99,98,94
742,98,88,90,73
743,74,67,82,74
744,94,73,99,59
745,72,93,98,60
746,67,86,92,66
747,73,97,77,87
748,76,84,77,89
749,96,98,90,67
750,73,76,98,79
751,87,67,95,89
752,99,61,97,71
753,85,73,79,75
754,96,77,98,78
755,94,96,85,56
756,67,93,96,77
757,84,65,79,96
758,81,60,83,78
759,100,95,90,96
760,68,89,81,93
761,92,89,95,71
762,95,67,86,56
763,86,65,93,62
764,71,94,100,90
765,76,85,89,58
766,77,63,98,80
767,81,92,82,63
768,99,73,88,73
769,78,70,89,81
770,96,70,97,70
771,88,76,92,99
772,69,77,79,100
773,67,98,86,96
774,74,87,96,57
775,87,61,84,73
776,98,82,77,67
777,71,82,77,89
778,85,72,90,58
779,98,94,80,57
780,79,89,90,79
781,78,93,81,68
782,80,64,91,65
783,90,83,81,62
784,95,65,87,84
785,73,68,90,96
786,82,85,95,90
787,79,84,91,85
788,68,97,86,66
789,78,97,79,67
790,69,77,82,65
791,72,86,81,76
792,87,65,88,97
793,71,78,94,86
794,76,65,96,67
795,75,70,96,95
796,81,91,87,69
797,80,80,91,84
798,87,67,96,83
799,92,79,85,90
800,75,60,98,97
801,99,97,89,76
802,82,65,90,88
803,100,96,96,58
804,74,83,97,97
805,67,67,100,88
806,89,81,89,79
807,67,70,87,73
808,82,84,97,79
809,71,96,90,64
810,89,80,99,90
811,75,79,84,74
812,81,63,97,99
813,73,94,94,58
814,71,82,98,75
815,99,64,92,58
816,89,80,86,81
817,92,90,92,88
818,71,87,92,87
819,81,97,81,85
820,72,66,98,67
821,100,99,94,96
822,94,96,89,94
823,75,73,83,89
824,75,71,86,86
825,75,98,94,69
826,87,91,97,61
827,83,92,97,64
828,69,62,80,63
829,87,93,77,93
830,81,91,89,90
831,100,86,83,85
832,85,84,79,95
833,79,61,99,72
834,97,75,97,86
835,70,94,81,63
836,78,64,100,84
837,70,90,97,67
838,85,85,87,75
839,96,89,100,92
840,98,64,87,93
841,98,85,83,91
842,75,89,86,63
843,78,81,84,65
844,97,78,100,89
845,79,99,88,77
846,81,76,99,81
847,98,90,88,63
848,95,78,92,76
849,81,68,90,93
850,72,79,84,57
851,96,70,95,72
852,84,89,96,88
853,89,82,92,89
854,71,67,87,69
855,100,76,91,65
856,71,90,99,94
857,90,88,81,67
858,90,84,100,57
859,67,72,85,66
860,98,63,97,82
861,73,62,78,90
862,88,61,97,85
863,86,68,96,81
864,97,86,79,82
865,92,80,89,83
866,90,84,98,70
867,72,98,86,73
868,99,98,79,70
869,73,91,84,99
870,96,77,82,70
871,79,81,89,68
872,72,62,81,93
873,91,83,99,60
874,89,75,87,85
875,82,78,85,61
876,70,99,88,74
877,89,69,86,91
878,91,85,82,81
879,83,64,80,74
880,90,61,90,77
881,90,95,90,78
882,71,72,93,70
883,73,86,83,75
884,94,78,83,62
885,92,68,92,100
886,75,83,97,65
887,99,100,88,58
888,79,68,92,66
889,79,63,90,67
890,79,69,90,83
891,74,74,94,90
892,78,85,86,60
893,78,63,86,59
894,75,99,77,79
895,94,83,87,78
896,84,85,92,74
897,95,60,92,77
898,76,96,91,63
899,89,77,88,69
900,93,77,85,76
901,85,73,95,56
902,98,86,94,90
903,97,77,100,84
904,70,96,79,90
905,99,76,81,66
906,77,92,98,74
907,84,93,89,85
908,95,98,91,95
909,99,68,77,98
910,93,76,89,69
911,82,74,86,58
912,79,100,98,65
913,78,61,85,71
914,90,90,100,92
915,89,79,90,92
916,95,72,89,98
917,96,73,96,85
918,100,60,95,73
919,90,89,82,98
920,73,98,98,86
921,90,79,88,67
922,76,84,94,80
923,97,74,81,81
924,79,73,95,100
925,93,66,82,69
926,87,66,77,88
927,90,61,77,95
928,98,93,81,63
929,98,98,85,61
930,94,60,86,92
931,72,66,83,59
932,96,88,100,69
933,82,99,78,100
934,72,92,91,56
935,84,73,81,93
936,80,75,79,96
937,67,90,82,68
938,96,78,77,99
939,79,85,100,72
940,76,97,81,72
941,96,69,89,97
942,94,100,94,66
943,73,89,99,74
944,71,74,78,91
945,71,97,95,64
946,74,69,97,79
947,73,97,78,97
948,67,69,82,86
949,83,64,90,80
950,73,64,79,62
951,85,100,98,76
952,80,84,98,83
953,73,94,85,93
954,71,84,81,90
955,99,87,88,99
956,70,60,97,72
957,73,80,78,61
958,79,68,88,78
959,92,93,98,77
960,75,65,98,90
961,90,77,87,99
962,86,65,86,61
963,70,63,84,77
964,97,62,89,90
965,68,93,98,97
966,96,95,90,87
967,85,87,78,94
968,97,90,78,71
969,85,87,86,85
970,76,90,99,93
971,73,70,89,63
972,96,66,100,82
973,67,69,92,93
974,85,78,97,84
975,85,92,96,76
976,84,96,82,76
977,76,92,84,74
978,90,72,99,65
979,69,64,86,86
980,94,63,93,80
981,99,64,83,79
982,76,100,95,94
983,72,76,92,64
984,79,64,92,97
985,75,63,88,70
986,72,71,83,68
987,84,91,92,94
988,97,61,85,81
989,79,95,90,91
990,80,68,80,100
991,83,62,82,85
992,68,63,88,61
993,97,91,97,62
994,71,71,99,73
995,79,74,98,68
996,81,65,96,83
997,86,76,92,62
998,92,99,90,69
999,83,82,99,97
1000,76,62,88,56
